"MITCHELL, BRIANE NELSON",S,ID,0
"RINGO, SHIRLEY G",H,ID,1
"STALLINGS, RICHARD ",H,ID,2
"DURBIN, RICHARD J",S,IL,0
"RUSH, BOBBY LEE",H,IL,1
"KELLY, ROBIN L.",H,IL,2
"LIPINSKI, DANIEL WILLIAM WILLIAM",H,IL,3
"GUTIERREZ, LUIS V",H,IL,4
"QUIGLEY, MIKE",H,IL,5
"MASON, MICHAEL",H,IL,6
"DAVIS, DANNY K. MR.",H,IL,7
"DUCKWORTH, L. TAMMY",H,IL,8
"SCHAKOWSKY, JANICE D",H,IL,9
"SCHNEIDER, BRADLEY SCOTT",H,IL,10
"FOSTER, G. WILLIAM (BILL)",H,IL,11
"ENYART, WILLIAM L. JR.",H,IL,12
"CALLIS, ANN",H,IL,13
"ANDERSON, DENNIS",H,IL,14
"THORSLAND, ERIC LEE",H,IL,15
"OLSEN, RANDALL WAYNE",H,IL,16
"BUSTOS, CHERI",H,IL,17
"MILLER, DARREL ERVIN",H,IL,18
"VISCLOSKY, PETER J.",H,IN,1
"BOCK, JOSEPH",H,IN,2
"KUHNLE, JUSTIN JAMES",H,IN,3
"DALE, JOHN",H,IN,4
"DENNEY, SHAWN ALLEN",H,IN,5
"HEITZMAN, SUSAN HALL",H,IN,6
"CARSON, ANDRE",H,IN,7
"SPANGLER, TOM",H,IN,8
"BAILEY, BILL",H,IN,9
"SHEROW, JAMES EARL",H,KS,1
"WAKEFIELD, MARGIE",H,KS,2
"KULTALA, KELLY D",H,KS,3
"SCHUCKMAN, PERRY L",H,KS,4
"GRIMES, ALISON  LUNDERGAN",S,KY,0
"HATCHETT, CHARLES KENDALL",H,KY,1
"LEACH, RONALD ALLEN",H,KY,2
"YARMUTH, JOHN A",H,KY,3
"NEWBERRY, JAMES H JR",H,KY,4
"STEPP, KENNETH STEPHENSON",H,KY,5
"JENSEN, ELISABETH",H,KY,6
"LANDRIEU, MARY L",S,LA,0
"DUGAS, LEE A.",H,LA,1
"RICHMOND, CEDRIC L",H,LA,2
"ANSLEY, JUSTIN",H,LA,4
"MAYO, JAMIE",H,LA,5
"EDWARDS, EDWIN WASHINGTON",H,LA,6
"MARKEY, EDWARD JOHN MR",S,MA,0
"NEAL, RICHARD E MR.",H,MA,1
"MCGOVERN, JIM",H,MA,2
"TSONGAS, NICOLA S",H,MA,3
"KENNEDY, JOSEPH P III",H,MA,4
"CLARK, KATHERINE",H,MA,5
"MOULTON, SETH",H,MA,6
"CAPUANO, MICHAEL E",H,MA,7
"KEATING, WILLIAM RICHARD",H,MA,9
"TILGHMAN, WILLIAM F",H,MD,1
"RUPPERSBERGER, C.A. DUTCH",H,MD,2
"SARBANES, JOHN PETER SPYROS",H,MD,3
"EDWARDS, DONNA FERN",H,MD,4
"HOYER, STENY HAMILTON",H,MD,5
"DELANEY, JOHN K",H,MD,6
"CUMMINGS, ELIJAH E",H,MD,7
"VAN HOLLEN, CHRISTOPHER",H,MD,8
"BELLOWS, SHENNA",S,ME,0
"PINGREE, CHELLIE M",H,ME,1
"CAIN, EMILY ANN",H,ME,2
"PETERS, GARY",S,MI,0
"CANNON, JERRY",H,MI,1
"VANDERSTELT, DEAN",H,MI,2
"GOODRICH, ROBERT EMMETT",H,MI,3
"HOLMES, JEFF",H,MI,4
"KILDEE, DANIEL T.",H,MI,5
"CLEMENTS, PAUL COLIN",H,MI,6
"BYRNES, PAM",H,MI,7
"SCHERTZING, ERIC ANTHONY",H,MI,8
"LEVIN, SANDER M MR",H,MI,9
"STADLER, CHUCK",H,MI,10
"MCKENZIE, BOBBY",H,MI,11
"DINGELL, DEBBIE",H,MI,12
"CONYERS, JOHN JR.",H,MI,13
"LAWRENCE, BRENDA LULENAR",H,MI,14
"WALZ, TIMOTHY J.",H,MN,1
"OBERMUELLER, MIKE",H,MN,2
"SUND, SHARON ",H,MN,3
"MCCOLLUM, BETTY",H,MN,4
"ELLISON, KEITH MAURICE",H,MN,5
"READ, JAMES HOWARD",H,MN,6
"CLAY, WILLIAM LACY JR",H,MO,1
"LIEBER, ARTHUR",H,MO,2
"DENTON, COURTNEY",H,MO,3
"IRVIN, NATHANIEL AUGUSTUS",H,MO,4
"CLEAVER II, EMANUEL",H,MO,5
"HEDGE, W A (BILL) DR",H,MO,6
"EVANS, JIM",H,MO,7
"STOCKER, BARBARA HAMILL",H,MO,8
"CHILDERS, TRAVIS W",S,MS,0
"DICKEY, RON ",H,MS,1
"THOMPSON, BENNIE G.",H,MS,2
"MAGEE, DOUG",H,MS,3
"MOORE, MATT",H,MS,4
"CURTIS, AMANDA",S,MT,0
"LEWIS, JOHN",H,MT,0
"HAGAN, KAY R",S,NC,0
"BUTTERFIELD, G K",H,NC,1
"AIKEN, CLAYTON CLAY",H,NC,2
"ADAME, MARSHALL RICHARD",H,NC,3
"PRICE, DAVID E.",H,NC,4
"BRANNON, JOSHUA JOSH"" ETHAN""",H,NC,5
"FJELD, LAURA",H,NC,6
"BARFIELD, JONATHAN JR",H,NC,7
"BLUE, ANTONIO",H,NC,8
"MACQUEEN, TATE",H,NC,10
"HILL, TOM",H,NC,11
"ADAMS, ALMA SHEALEY",H,NC,12
"CLEARY, BRENDA LEWIS",H,NC,13
"SINNER, GEORGE B",H,ND,0
"DOMINA, DAVID A",S,NE,0
"CRAWFORD, DENNIS P",H,NE,1
"ASHFORD, BRAD",H,NE,2
"SULLIVAN, MARK",H,NE,3
"SHAHEEN, JEANNE",S,NH,0
"SHEA-PORTER, CAROL",H,NH,1
"KUSTER, ANN MCLANE",H,NH,2
"BOOKER, CORY A",S,NJ,0
"NORCROSS, DONALD W",H,NJ,1
"HUGHES, WILLIAM J JR",H,NJ,2
"BELGARD, AIMEE",H,NJ,3
"SCOLAVINO, RUBEN M",H,NJ,4
"CHO, ROY",H,NJ,5
"PALLONE, FRANK JR",H,NJ,6
"KOVACH, JANICE",H,NJ,7
"SIRES, ALBIO",H,NJ,8
"PASCRELL, WILLIAM J. HON. JR.",H,NJ,9
"PAYNE, DONALD M., JR.",H,NJ,10
"DUNEC, MARK S",H,NJ,11
"COLEMAN, BONNIE WATSON",H,NJ,12
"UDALL, TOM",S,NM,0
"GRISHAM, MICHELLE LUJAN",H,NM,1
"LARA, ROXANNE",H,NM,2
"LUJAN, BEN R MR.",H,NM,3
"TITUS, DINA",H,NV,1
"SPEES, KRISTEN",H,NV,2
"BILBRAY, ERIN",H,NV,3
"HORSFORD, STEVEN ALEXZANDER",H,NV,4
"BISHOP, TIMOTHY",H,NY,1
"MAHER, PATRICIA M",H,NY,2
"ISRAEL, STEVE J.",H,NY,3
"RICE, KATHLEEN",H,NY,4
"MEEKS, GREGORY W.",H,NY,5
"MENG, GRACE",H,NY,6
"VELAZQUEZ, NYDIA",H,NY,7
"JEFFRIES, HAKEEM",H,NY,8
"CLARKE, YVETTE D",H,NY,9
"NADLER, JERROLD L. MR.",H,NY,10
"RECCHIA, DOMENIC M JR",H,NY,11
"MALONEY, CAROLYN B.",H,NY,12
"RANGEL, CHARLES B",H,NY,13
"CROWLEY, JOSEPH",H,NY,14
"SERRANO, JOSE E.",H,NY,15
"ENGEL, ELIOT L. REP.",H,NY,16
"LOWEY, NITA M",H,NY,17
"MALONEY, SEAN PATRICK",H,NY,18
"ELDRIDGE, SEAN",H,NY,19
"TONKO, PAUL DAVID",H,NY,20
"WOOLF, AARON",H,NY,21
"ROBERTSON, MARTHA",H,NY,23
"MAFFEI, DANIEL BENJAMIN MR.",H,NY,24
"SLAUGHTER, LOUISE MCINTOSH",H,NY,25
"HIGGINS, BRIAN",H,NY,26
"O'DONNELL, JAMES D.",H,NY,27
"KUNDRATA, FREDERICK LOUIS III",H,OH,1
"TYSZKIEWICZ, MAREK",H,OH,2
"BEATTY, JOYCE",H,OH,3
